수집일,수집시각,사이트,카테고리,순위,브랜드,상품명,가격,링크,이미지
2026-08-14,2026-08-14 12:18,다이소몰,건강식품,1,,[보령약국 X Pantio] 다이어트 컷 올인원 15포 15일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=033991021&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260805/thumb/300/xVYROwLnuZYLoqWwcjU6033991021_00_00xVYROwLnuZYLoqWwcjU6.png
2026-08-14,2026-08-14 12:18,다이소몰,건강식품,2,,[신혜선 PICK] 동국 마이팝 푸룬＆식이섬유,2000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=610911029&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260623/thumb/300/QaObI3LjZ86tREQcCYCw610911029_00_00QaObI3LjZ86tREQcCYCw.jpg
2026-08-14,2026-08-14 12:18,다이소몰,건강식품,3,,[신혜선 PICK] 동국제약 마데카 글루타치온 필름 12매 12일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=610911099&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260728/thumb/300/NbSqiy25P90IFlYxB3ux610911099_00_01NbSqiy25P90IFlYxB3ux.jpg
2026-08-14,2026-08-14 12:18,다이소몰,건강식품,4,,[신혜선 PICK] 동국제약 면역엔 홍삼 필름 10매 10일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=610911096&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260805/thumb/300/X3lfEnRBZWFGAzpNcACh610911096_00_01X3lfEnRBZWFGAzpNcACh.jpg
2026-08-14,2026-08-14 12:18,다이소몰,건강식품,5,,[보령약국 X Pantio] 4050 에너지 올인원 12포 12일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=033991014&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260805/thumb/300/nEaU2dcD2F8jaTQXSIb5033991014_00_00nEaU2dcD2F8jaTQXSIb5.png
2026-08-14,2026-08-14 12:18,다이소몰,건강식품,6,,[신혜선 PICK] 동국 마이팝 발효효소＆매실,2000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=610911031&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260623/thumb/300/AwS7hZ6EGxkGDWyKLCd8610911031_00_00AwS7hZ6EGxkGDWyKLCd8.jpg
2026-08-14,2026-08-14 12:18,다이소몰,건강식품,7,,LG생활건강 이너뷰 혈당 감소 츄어블 28정 28일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=033574091&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260723/thumb/300/c2TZVCaqecHNLV5z01Uh033574091_00_01c2TZVCaqecHNLV5z01Uh.jpg
2026-08-14,2026-08-14 12:18,다이소몰,건강식품,8,,휴럼 하루한포 유기농 야채분말 15포 15일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=919157056&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260706/thumb/300/z42ScLP7B6TWURzgDPY0919157056_00_01z42ScLP7B6TWURzgDPY0.jpg
2026-08-14,2026-08-14 12:18,다이소몰,건강식품,9,,[보령약국 X Pantio] 풍성한 판토텐산 비오틴 올인원 15포 15일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=033991019&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260805/thumb/300/JA7ke0629R2muBbsNQbJ033991019_00_00JA7ke0629R2muBbsNQbJ.png
2026-08-14,2026-08-14 12:18,다이소몰,건강식품,10,,[보령약국 X Pantio] 60+ 에너지 올인원 12포 12일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=033991015&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260805/thumb/300/DhZNccB3rZuh6luNKwab033991015_00_00DhZNccB3rZuh6luNKwab.png
