수집일,사이트,카테고리,순위,브랜드,상품명,가격
2026-08-12,올리브영,건강식품,1,정관장,정관장 아이패스 시크릿 공부부적 (500mg*20매) (20일분),36000
2026-08-12,올리브영,건강식품,2,프로뉴트리션,[8월 올영픽/한선화 PICK] 프로뉴트리션 듀얼플랜 다이어트 유산균 14포,29900
2026-08-12,올리브영,건강식품,3,바이오코어유산균,CJ 바이오코어 비피더스 다이어트 유산균 14캡슐 (2주분),16900
2026-08-12,올리브영,건강식품,4,판도라,[8월 올영픽] 판도라 브이트리티 7/14+1포 (7/15일분),24100
2026-08-12,올리브영,건강식품,5,고려은단,고려은단 비타민C1000 600정 (20개월분),42900
