수집일,수집시각,사이트,카테고리,순위,브랜드,상품명,가격,링크,이미지
2026-08-26,2026-08-26 12:41,다이소몰,건강식품,1,,자연관 리프레쉬 마그네슘＆L-테아닌 4병 4일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=032627142&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260612/thumb/300/IiBr1SI0rlUycwbkaeGq032627142_00_01IiBr1SI0rlUycwbkaeGq.jpg
2026-08-26,2026-08-26 12:41,다이소몰,건강식품,2,,[신혜선 PICK] 동국제약 프라임도스 비타민C 2000 30포 30일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=610911092&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260814/thumb/300/qU3FUPerTqzVYxrqf7Lx610911092_00_01qU3FUPerTqzVYxrqf7Lx.jpg
2026-08-26,2026-08-26 12:41,다이소몰,건강식품,3,,[신혜선 PICK] 동국 마이팝 홍삼＆비타B,2000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=610911030&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260623/thumb/300/xNJvNqGjAYp0B7f9QQ8M610911030_00_00xNJvNqGjAYp0B7f9QQ8M.jpg
2026-08-26,2026-08-26 12:41,다이소몰,건강식품,4,,휴럼 하루한포 유기농 야채분말 15포 15일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=919157056&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260706/thumb/300/z42ScLP7B6TWURzgDPY0919157056_00_01z42ScLP7B6TWURzgDPY0.jpg
2026-08-26,2026-08-26 12:41,다이소몰,건강식품,5,,[신혜선 PICK] 동국제약  프라임도스 비타민B 맥스 30정 30일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=610911093&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260814/thumb/300/Q823T3m7aYDYd4gzOILy610911093_00_01Q823T3m7aYDYd4gzOILy.jpg
2026-08-26,2026-08-26 12:41,다이소몰,건강식품,6,,[홍삼입문자] 자연관 6년근 홍삼정 에너타임 스탠다드 14포 14일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=901762105&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260612/thumb/300/6YtHsleJV0YMOtFdtOAk901762105_00_016YtHsleJV0YMOtFdtOAk.jpg
2026-08-26,2026-08-26 12:41,다이소몰,건강식품,7,,[신혜선 PICK] 동국제약 마데카 글루타치온 필름 12매 12일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=610911099&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260728/thumb/300/NbSqiy25P90IFlYxB3ux610911099_00_01NbSqiy25P90IFlYxB3ux.jpg
2026-08-26,2026-08-26 12:41,다이소몰,건강식품,8,,[신혜선 PICK] 동국제약  프라임도스 비오틴 5000 60정 60일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=610911094&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260814/thumb/300/pgiWPPVQ81EjmmAhiAIj610911094_00_01pgiWPPVQ81EjmmAhiAIj.jpg
2026-08-26,2026-08-26 12:41,다이소몰,건강식품,9,,[신혜선 PICK] 동국제약  프라임도스 비타민D3 4000IU 60정 60일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=610911095&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260814/thumb/300/OCdRZHWMgR1UGDUjFQp4610911095_00_01OCdRZHWMgR1UGDUjFQp4.jpg
2026-08-26,2026-08-26 12:41,다이소몰,건강식품,10,,휴럼 하루한포 유기농 양배추분말 15포 15일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=919157058&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260706/thumb/300/7ivzhVU9jk8zl5gsOS7L919157058_00_017ivzhVU9jk8zl5gsOS7L.jpg
